"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.1165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.8265,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.6538,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.5147,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.3472,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",100.1556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.95414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.79341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",99.57313,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",99.37947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",99.16328,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",98.95727,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",99.02148,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",99.14175,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.13123,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",99.07554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",99.00143,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.93251,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.86903,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.85683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",99.03905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",99.3029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",99.47464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",99.65684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.86802,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.0491,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.1822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.3806,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.5554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.6531,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.5987,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.4339,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.1827,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0634,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0561,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1162,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.1586,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.1621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.1628,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.1206,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.0835,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.2064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.3287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.3578,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.3003,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.1621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.0058,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.79466,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.33616,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.84709,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.48086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.29787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.14864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.09241,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.15748,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.22058,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.28371,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.21056,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.22924,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.45137,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.60593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.68932,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.5869,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.29594,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.13423,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.0527,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.95039,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.09776,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.36679,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.53157,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.51778,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.4737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.59537,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.86425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.27917,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.71706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.0367,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.2535,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.4443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.5653,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.5802,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.6094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.6214,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.5325,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.419,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.3823,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.403,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.3776,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.3568,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.3475,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.3805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.4607,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.4988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5852,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.68,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.7157,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.7616,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.7879,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.7961,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.8169,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.7598,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5935,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3906,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2349,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2002,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2468,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.3621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4446,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.6385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.8379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.9498,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.0138,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.0657,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.145,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.1716,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.1383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.0719,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2204,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.2761,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.2681,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.2662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.2429,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.2514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.2373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.2181,
