"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.4202,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.6478,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.7615,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.793,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.5732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.3055,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.1341,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.0747,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.0346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.0119,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-08",99.7861,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-09",99.5349,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.2448,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-11",98.9633,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-12",98.7977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-01",98.6385,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.2554,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-03",97.7935,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.2728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-05",96.899,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.7814,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-07",96.9816,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.2352,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.3102,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.9623,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.7094,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.702,
