Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1467.969971,1471.770020,1403.449951,1416.180054,1416.180054,15269410000
2008-01-08,1415.709961,1430.280029,1378.699951,1416.250000,1416.250000,23404840000
2008-01-15,1411.880005,1411.880005,1312.510010,1325.189941,1325.189941,21350230000
2008-01-22,1312.939941,1368.560059,1270.050049,1353.959961,1353.959961,24504850000
2008-01-29,1355.939941,1396.020020,1334.079956,1380.819946,1380.819946,22092560000
2008-02-05,1380.280029,1380.280029,1316.750000,1339.130005,1339.130005,20274650000
2008-02-12,1340.550049,1369.229980,1338.130005,1349.989990,1349.989990,15129120000
2008-02-19,1355.859985,1374.359985,1327.040039,1371.800049,1371.800049,18619740000
2008-02-26,1371.760010,1388.339966,1320.040039,1331.339966,1331.339966,20483640000
2008-03-04,1329.579956,1344.189941,1272.660034,1273.369995,1273.369995,22185000000
2008-03-11,1274.400024,1333.260010,1256.979980,1276.599976,1276.599976,25433510000
2008-03-18,1277.160034,1359.680054,1277.160034,1349.880005,1349.880005,21338400000
2008-03-25,1349.069946,1357.469971,1312.810059,1322.699951,1322.699951,20114690000
2008-04-01,1326.410034,1386.739990,1326.410034,1372.540039,1372.540039,20436540000
2008-04-08,1370.160034,1370.160034,1326.160034,1328.319946,1328.319946,18134130000
2008-04-15,1331.719971,1395.900024,1324.349976,1388.170044,1388.170044,19198430000
2008-04-22,1386.430054,1402.900024,1369.839966,1396.369995,1396.369995,19885320000
2008-04-29,1395.609985,1422.719971,1383.069946,1407.489990,1407.489990,20136110000
2008-05-06,1405.599976,1421.569946,1384.109985,1403.579956,1403.579956,18716760000
2008-05-13,1404.400024,1440.239990,1396.260010,1426.630005,1426.630005,19361000000
2008-05-20,1424.489990,1424.489990,1373.719971,1375.930054,1375.930054,15844650000
2008-05-27,1375.969971,1406.319946,1373.069946,1385.670044,1385.670044,18970490000
2008-06-03,1386.420044,1404.050049,1350.619995,1361.760010,1361.760010,22262040000
2008-06-10,1358.979980,1366.839966,1331.290039,1360.140015,1360.140015,21936650000
2008-06-17,1360.709961,1366.589966,1314.459961,1318.000000,1318.000000,22698470000
